model,MAE,MSE,RMSE,R2,MAPE,SMAPE
TorchMLP,1403011.99906106,6459097491836.793,2541475.4556825436,0.9799397237426815,4.178912906314965,4.123924951981571
RandomForestRegressor,1400334.9930982143,6443326126224.471,2538370.7621670384,0.97998870550082,4.346405160127288,4.243956660226241
LinearRegression,2061282.9248998698,11834864108343.979,3440183.7317713103,0.963243991319027,6.27612770469311,6.194968775294891
