date,year,month_num,month,inflation_type,source_type,value
1992-03-01,1992,3,март,non_food,Индексы потребительских цен на непродовольственные товары по Российской Федерации,141.9
1992-03-01,1992,3,март,services,Индексы потребительских цен на услуги по Российской Федерации,118.0
1992-03-01,1992,3,март,total,Индексы потребительских цен на товары и услуги по Российской Федерации,129.9
1992-04-01,1992,4,апрель,food,Индексы потребительских цен на продовольственные товары по Российской Федерации,116.11
1992-04-01,1992,4,апрель,non_food,Индексы потребительских цен на непродовольственные товары по Российской Федерации,125.4
1992-04-01,1992,4,апрель,services,Индексы потребительских цен на услуги по Российской Федерации,131.2
1992-04-01,1992,4,апрель,total,Индексы потребительских цен на товары и услуги по Российской Федерации,121.7
1992-05-01,1992,5,май,food,Индексы потребительских цен на продовольственные товары по Российской Федерации,110.7
1992-05-01,1992,5,май,non_food,Индексы потребительских цен на непродовольственные товары по Российской Федерации,111.8
1992-05-01,1992,5,май,services,Индексы потребительских цен на услуги по Российской Федерации,117.8
1992-05-01,1992,5,май,total,Индексы потребительских цен на товары и услуги по Российской Федерации,111.9
1992-06-01,1992,6,июнь,food,Индексы потребительских цен на продовольственные товары по Российской Федерации,120.0
1992-06-01,1992,6,июнь,non_food,Индексы потребительских цен на непродовольственные товары по Российской Федерации,112.1
1992-06-01,1992,6,июнь,services,Индексы потребительских цен на услуги по Российской Федерации,139.1
1992-06-01,1992,6,июнь,total,Индексы потребительских цен на товары и услуги по Российской Федерации,119.1
1992-07-01,1992,7,июль,food,Индексы потребительских цен на продовольственные товары по Российской Федерации,108.9
1992-07-01,1992,7,июль,non_food,Индексы потребительских цен на непродовольственные товары по Российской Федерации,109.8
1992-07-01,1992,7,июль,services,Индексы потребительских цен на услуги по Российской Федерации,120.8
1992-07-01,1992,7,июль,total,Индексы потребительских цен на товары и услуги по Российской Федерации,110.6
1992-08-01,1992,8,август,food,Индексы потребительских цен на продовольственные товары по Российской Федерации,107.49
1992-08-01,1992,8,август,non_food,Индексы потребительских цен на непродовольственные товары по Российской Федерации,110.3
1992-08-01,1992,8,август,services,Индексы потребительских цен на услуги по Российской Федерации,110.52
1992-08-01,1992,8,август,total,Индексы потребительских цен на товары и услуги по Российской Федерации,108.6
1992-09-01,1992,9,сентябрь,food,Индексы потребительских цен на продовольственные товары по Российской Федерации,112.8
1992-09-01,1992,9,сентябрь,non_food,Индексы потребительских цен на непродовольственные товары по Российской Федерации,112.8
1992-09-01,1992,9,сентябрь,services,Индексы потребительских цен на услуги по Российской Федерации,110.9
1992-09-01,1992,9,сентябрь,total,Индексы потребительских цен на товары и услуги по Российской Федерации,111.5
1992-10-01,1992,10,октябрь,food,Индексы потребительских цен на продовольственные товары по Российской Федерации,124.7
1992-10-01,1992,10,октябрь,non_food,Индексы потребительских цен на непродовольственные товары по Российской Федерации,119.9
1992-10-01,1992,10,октябрь,services,Индексы потребительских цен на услуги по Российской Федерации,128.88
1992-10-01,1992,10,октябрь,total,Индексы потребительских цен на товары и услуги по Российской Федерации,122.9
1992-11-01,1992,11,ноябрь,food,Индексы потребительских цен на продовольственные товары по Российской Федерации,127.3
1992-11-01,1992,11,ноябрь,non_food,Индексы потребительских цен на непродовольственные товары по Российской Федерации,125.6
1992-11-01,1992,11,ноябрь,services,Индексы потребительских цен на услуги по Российской Федерации,122.6
1992-11-01,1992,11,ноябрь,total,Индексы потребительских цен на товары и услуги по Российской Федерации,126.1
1992-12-01,1992,12,декабрь,food,Индексы потребительских цен на продовольственные товары по Российской Федерации,125.6
1992-12-01,1992,12,декабрь,non_food,Индексы потребительских цен на непродовольственные товары по Российской Федерации,126.9
1992-12-01,1992,12,декабрь,services,Индексы потребительских цен на услуги по Российской Федерации,116.2
