date,inflation_type,pred_target,pred_idx
2026-04-01,food,0.43671707338349414,100.43671707338349
2026-04-01,non_food,0.3853636395608222,100.38536363956082
2026-04-01,services,0.8762124036798129,100.87621240367982
2026-04-01,total,0.5695214372685435,100.56952143726855
2026-05-01,food,0.3966908238429073,100.3966908238429
2026-05-01,non_food,0.3853636395608222,100.38536363956082
2026-05-01,services,0.8913394675772065,100.89133946757721
2026-05-01,total,0.5776680660374389,100.57766806603743
2026-06-01,food,0.3944840572144025,100.3944840572144
2026-06-01,non_food,0.3853636395608222,100.38536363956082
2026-06-01,services,0.7573413535148267,100.75734135351483
2026-06-01,total,0.5695214372685435,100.56952143726855
2026-07-01,food,0.3831604186044114,100.3831604186044
2026-07-01,non_food,0.38757040618932703,100.38757040618933
2026-07-01,services,1.0052038894144961,101.0052038894145
2026-07-01,total,0.6153033608367293,100.61530336083673
2026-08-01,food,-0.021315668817738952,99.97868433118227
2026-08-01,non_food,0.17212399133766745,100.17212399133767
2026-08-01,services,0.4678053976474445,100.46780539764744
2026-08-01,total,0.2296022039227327,100.22960220392274
2026-09-01,food,0.30766533345440816,100.30766533345441
2026-09-01,non_food,0.3768995820100123,100.37689958201001
2026-09-01,services,0.42340926133734746,100.42340926133734
2026-09-01,total,0.34023807609540657,100.3402380760954
2026-10-01,food,0.47934805594238034,100.47934805594238
2026-10-01,non_food,0.42759665572991384,100.42759665572991
2026-10-01,services,0.39649447282298494,100.39649447282298
2026-10-01,total,0.3990817785842035,100.3990817785842
2026-11-01,food,0.49076479095564274,100.49076479095564
2026-11-01,non_food,0.38757040618932703,100.38757040618933
2026-11-01,services,0.4152626325684521,100.41526263256846
2026-11-01,total,0.3966908238429073,100.3966908238429
2026-12-01,food,0.45312949615635195,100.45312949615635
2026-12-01,non_food,0.38757040618932703,100.38757040618933
2026-12-01,services,0.4152626325684521,100.41526263256846
2026-12-01,total,0.3966908238429073,100.3966908238429
2027-01-01,food,0.9926704483495478,100.99267044834954
2027-01-01,non_food,0.7699790167201458,100.76997901672014
2027-01-01,services,1.0543018173872167,101.05430181738721
2027-01-01,total,0.9130975484361058,100.9130975484361
2027-02-01,food,0.8484044581092214,100.84840445810921
2027-02-01,non_food,0.6750991651792386,100.67509916517923
2027-02-01,services,0.9118185890664751,100.91181858906647
2027-02-01,total,0.8418477593937672,100.84184775939377
2027-03-01,food,0.6842195828328188,100.68421958283282
2027-03-01,non_food,0.5685476483838587,100.56854764838386
2027-03-01,services,0.9118185890664751,100.91181858906647
2027-03-01,total,0.7300015064010046,100.73000150640101
