inflation_type,month_num,month_mean_idx,total_mean_idx,seasonality_pivot_method,seasonality_by_year_method
food,1,112.61028571428572,103.25009732360097,1.090655492181751,1.0706335353921344
food,2,103.34171428571429,103.25009732360097,1.0008873305157882,1.0022365396569235
food,3,102.67342857142857,103.25009732360097,0.9944148357520184,0.9966288017420761
food,4,102.16588235294117,103.25009732360097,0.9894991385115918,0.9917459078663486
food,5,101.9914705882353,103.25009732360097,0.9878099220437445,0.990414610944678
food,6,102.20558823529412,103.25009732360097,0.9898836987530074,0.9914996990439394
food,7,101.38588235294117,103.25009732360097,0.9819446662135622,0.9844207639021001
food,8,100.57088235294117,103.25009732360097,0.9740512111842108,0.9764891890009617
food,9,102.53911764705882,103.25009732360097,0.9931140047808978,0.9948406394521601
food,10,102.67088235294118,103.25009732360097,0.9943901750635212,0.9956881146515395
food,11,103.08235294117648,103.25009732360097,0.9983753586023386,0.9995547218077961
food,12,103.50264705882353,103.25009732360097,1.0024459999725814,1.0038033919278384
non_food,1,107.99914285714287,102.88620437956205,1.049695083110642,1.0380567018454852
non_food,2,103.18857142857142,102.88620437956205,1.002938849293088,1.0026241666456963
non_food,3,103.20457142857143,102.88620437956205,1.0030943609099903,1.003344777741049
non_food,4,102.32970588235294,102.88620437956205,0.9945911261809591,0.99539914903865
non_food,5,101.64852941176471,102.88620437956205,0.9879704477849006,0.9899100886048051
non_food,6,101.52176470588236,102.88620437956205,0.9867383612612818,0.9886191030688626
non_food,7,101.55676470588234,102.88620437956205,0.9870785429232553,0.989014590751037
non_food,8,102.02117647058823,102.88620437956205,0.9915923819506199,0.9933603567994228
non_food,9,103.71911764705882,102.88620437956205,1.0080954805604845,1.009151732609899
non_food,10,102.67264705882353,102.88620437956205,0.9979243347344152,0.9989308499742496
non_food,11,102.38264705882354,102.88620437956205,0.9951056866780622,0.9959081031259798
non_food,12,102.22117647058823,102.88620437956205,0.993536277161898,0.9943855078468571
services,1,109.53685714285714,103.68206812652069,1.05646867507689,1.049481852146138
services,2,104.58914285714286,103.68206812652069,1.0087486172586304,1.0084105745524143
services,3,103.12028571428571,103.68206812652069,0.9945816820363822,0.9959668034706287
services,4,104.31235294117647,103.68206812652069,1.006079014684455,1.0048922641310452
services,5,103.0529411764706,103.68206812652069,0.9939321527683805,0.9945093859860304
services,6,103.14558823529411,103.68206812652069,0.9948257215454853,0.9952299843848479
services,7,103.63794117647059,103.68206812652069,0.9995744013323861,1.0004658266167181
services,8,103.02323529411764,103.68206812652069,0.9936456434144515,0.9938948772052465
services,9,102.35705882352941,103.68206812652069,0.9872204583981253,0.9888111704447139
services,10,102.69470588235293,103.68206812652069,0.9904770201635744,0.9910102120171179
services,11,102.49323529411765,103.68206812652069,0.9885338626641559,0.9896172623312367
services,12,102.03911764705882,103.68206812652069,0.9841539572932031,0.9861256917088869
total,1,110.46514285714287,103.15233576642336,1.0708932767870474,1.0562918442693587
total,2,103.42257142857143,103.15233576642336,1.0026197725930315,1.0030184834424678
total,3,102.88799999999999,103.15233576642336,0.9974374233558615,0.9986895010998014
total,4,102.42588235294117,103.15233576642336,0.9929574700554803,0.9942261158149353
total,5,102.00617647058823,103.15233576642336,0.9888886733652791,0.9909315886285183
total,6,102.10735294117647,103.15233576642336,0.9898695185379696,0.991322440960905
total,7,101.86617647058823,103.15233576642336,0.9875314573705098,0.9895334377106719
total,8,101.46823529411765,103.15233576642336,0.9836736564442015,0.9855686211482694
total,9,102.85058823529413,103.15233576642336,0.9970747387454947,0.9986403345065187
total,10,102.5785294117647,103.15233576642336,0.9944372916968359,0.9954652247173255
total,11,102.70382352941176,103.15233576642336,0.9956519429862722,0.9965967793583697
total,12,102.83029411764706,103.15233576642336,0.9968779994521352,0.9980097510248694
